| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |  s2n | wv_rms |
| 1038 | SPAT0796-SLIT1038-DET01 |       795.5 |        0.123 |      3.00 |    0.674 | 9.96 |  0.061 |
| 1038 | SPAT0836-SLIT1038-DET01 |       836.1 |        0.187 |      3.00 |    2.899 | 0.08 |  0.061 |
| 1038 | SPAT0940-SLIT1038-DET01 |       939.9 |        0.348 |      3.00 |    0.802 | 0.86 |  0.061 |
| 1038 | SPAT1185-SLIT1038-DET01 |      1184.8 |        0.730 |      3.00 |    1.239 | 0.67 |  0.061 |
| 1038 | SPAT1235-SLIT1038-DET01 |      1234.6 |        0.809 |      3.00 |   19.708 | 0.65 |  0.061 |
| 1038 | SPAT1241-SLIT1038-DET01 |      1240.8 |        0.817 |      3.00 |   19.675 | 0.77 |  0.061 |
| 1038 | SPAT1260-SLIT1038-DET01 |      1259.8 |        0.847 |      3.00 |    8.648 | 0.61 |  0.061 |
| 1038 | SPAT1274-SLIT1038-DET01 |      1273.7 |        0.868 |      3.00 |   15.512 | 0.82 |  0.061 |
| 1038 | SPAT1291-SLIT1038-DET01 |      1291.0 |        0.895 |      3.00 |   16.414 | 0.81 |  0.061 |
| 1038 | SPAT1320-SLIT1038-DET01 |      1319.9 |        0.940 |      3.00 |    1.305 | 0.35 |  0.061 |
