| slit |                    name | spat_pixpos | spat_fracpos | box_width | opt_fwhm |   s2n | manual_extract | wv_rms |
| 1038 | SPAT0725-SLIT1038-DET01 |       725.4 |        0.016 |      3.00 |   62.065 | 13.71 |          False |  0.049 |
| 1038 | SPAT0736-SLIT1038-DET01 |       735.6 |        0.031 |      3.00 |   53.908 | 18.58 |          False |  0.049 |
| 1038 | SPAT0753-SLIT1038-DET01 |       752.7 |        0.058 |      3.00 |   48.538 | 10.57 |          False |  0.049 |
| 1038 | SPAT0776-SLIT1038-DET01 |       776.5 |        0.097 |      3.00 |   34.961 |  9.95 |          False |  0.049 |
| 1038 | SPAT0804-SLIT1038-DET01 |       804.5 |        0.138 |      3.00 |   36.040 | 15.47 |          False |  0.049 |
| 1038 | SPAT0816-SLIT1038-DET01 |       816.2 |        0.156 |      3.00 |   38.158 | 10.37 |          False |  0.049 |
| 1038 | SPAT0825-SLIT1038-DET01 |       825.1 |        0.170 |      3.00 |   40.728 |  9.40 |          False |  0.049 |
| 1038 | SPAT0839-SLIT1038-DET01 |       839.3 |        0.193 |      3.00 |    0.588 |  1.68 |           True |  0.049 |
| 1038 | SPAT0939-SLIT1038-DET01 |       939.3 |        0.348 |      3.00 |    0.648 |  6.28 |          False |  0.049 |
| 1038 | SPAT1023-SLIT1038-DET01 |      1023.3 |        0.479 |      3.00 |    0.698 | 27.26 |          False |  0.049 |
| 1038 | SPAT1186-SLIT1038-DET01 |      1186.0 |        0.732 |      3.00 |    1.868 | 27.41 |          False |  0.049 |
